n_classes;n_choices;metric;cont_tfidf;sem_tfidf;cont_d2v;sem_d2v
3;120;accuracy;0.93;0.95;0.88;0.86
3;120;purity;0.91;0.94;0.87;0.84
4;210;accuracy;0.93;0.95;0.86;0.81
4;210;purity;0.88;0.92;0.84;0.79
5;252;accuracy;0.93;0.96;0.84;0.79
5;252;purity;0.86;0.89;0.8;0.76
6;210;accuracy;0.92;0.96;0.83;0.76
6;210;purity;0.83;0.87;0.77;0.72
7;120;accuracy;0.92;0.96;0.82;0.76
7;120;purity;0.8;0.85;0.75;0.69
8;45;accuracy;0.92;0.95;0.8;0.73
8;45;purity;0.79;0.84;0.74;0.68
9;10;accuracy;0.92;0.94;0.81;0.71
9;10;purity;0.78;0.83;0.72;0.67
10;1;accuracy;0.91;0.94;0.79;0.73
10;1;purity;0.77;0.83;0.67;0.6
Mean;/;accuracy;0.92;0.95;0.83;0.77
Mean;/;purity;0.83;0.87;0.77;0.72
